customer_id,total_orders,total_gmv,total_days
668906,58,3524945.0,23
637524,73,2866325.0,28
614693,86,5029940.0,29
653775,80,4244933.0,28
588214,142,8490321.0,30
599579,134,8228770.0,29
574021,131,6521600.0,30
549345,790,55822925.0,31
681457,129,5410591.0,30
616419,34,2830830.0,20
596072,94,4785782.0,29
589437,111,6014510.0,30
602070,85,4560817.0,28
686559,148,6558227.0,31
684590,212,6943200.0,31
547053,464,34836191.0,31
615630,71,3993151.0,26
552285,604,37061050.0,31
566169,97,4322505.0,31
630936,111,5345340.0,31
588350,176,10590573.0,31
669470,136,8162772.0,31
681460,101,3490701.0,30
662000,16,638201.0,8
565742,100,4500270.0,30
659413,36,1761200.0,22
608269,88,4032083.0,28
581894,188,11721941.0,31
605057,168,11436902.0,30
556402,204,15871888.0,30
685437,189,12050675.0,31
645368,52,1962154.0,25
611334,99,5178584.0,30
597747,51,2111862.0,26
643506,22,761140.0,17
565131,269,15865645.0,31
572244,157,9704295.0,31
593578,128,5998985.0,31
634336,61,2555090.0,25
599496,88,3748800.0,29
614546,47,2172980.0,22
628818,62,3421520.0,28
578953,188,9559034.0,31
667913,20,718401.0,14
629450,37,2602700.0,21
610271,71,3069480.0,29
686449,176,8585222.0,31
687894,266,14150348.0,23
649084,32,1450272.0,18
579827,136,7383150.0,31
543481,1198,92789111.0,31
594301,112,4543741.0,31
565663,198,14441495.0,30
627636,57,3361310.0,29
600969,220,9810752.0,31
669594,75,3814559.0,28
622716,88,3984650.0,27
608506,109,6555718.0,30
567510,188,12174311.0,31
575235,135,10080130.0,31
671146,68,3417726.0,26
604422,123,6630995.0,30
558852,374,23692546.0,31
546931,409,27318288.0,31
577503,124,6919846.0,31
673885,45,1739400.0,24
580789,59,3499700.0,27
629588,71,3427222.0,28
572618,164,7912315.0,31
634579,47,2033990.0,25
574278,280,14402350.0,31
591027,196,16540311.0,31
596950,220,13283331.0,31
575058,245,19915593.0,31
591961,113,4787692.0,30
618950,191,12234542.0,31
548207,701,37836481.0,31
571658,203,10056017.0,31
639859,69,2596750.0,29
669121,92,4248538.0,29
671742,55,2330010.0,28
600392,167,10847391.0,31
554525,504,33306669.0,31
638880,74,3643063.0,28
667836,38,1762000.0,21
607118,32,1756611.0,20
612366,100,7344537.0,31
621412,95,4822674.0,31
621427,115,5237889.0,30
569685,278,14306575.0,31
651302,66,2368322.0,27
552178,516,37586276.0,31
649807,113,6897103.0,31
667712,22,902000.0,14
596785,129,6024695.0,30
554390,208,12197502.0,31
545496,731,49257733.0,31
584998,161,8626466.0,31
584124,162,10304840.0,31
637070,77,4097900.0,28
661074,49,2711592.0,25
578846,194,10598704.0,31
623464,60,2372400.0,24
667641,44,2270530.0,24
627487,50,2362500.0,26
558330,424,23184885.0,31
684363,197,8902105.0,31
678932,85,4539800.0,30
575016,121,7527830.0,31
638197,103,8708042.0,29
676667,129,4947430.0,30
652450,81,7306513.0,26
667483,41,2770825.0,23
575728,230,9832664.0,31
545943,559,43764186.0,31
600772,103,7024330.0,30
689384,85,3811045.0,7
661482,50,2319540.0,22
679479,132,11372432.0,31
591174,94,4342412.0,31
634541,56,3480961.0,24
667289,30,1148850.0,22
624870,85,4612032.0,30
566429,106,5739502.0,30
673481,45,2460550.0,27
560008,302,17777194.0,31
555635,240,16051794.0,31
562006,277,15480116.0,31
545724,579,39849974.0,31
623159,63,3611937.0,24
635884,108,5557242.0,29
648027,52,3883150.0,25
623768,50,1970900.0,24
583478,96,5065716.0,28
675436,59,3050721.0,28
615108,79,3982840.0,27
640690,56,3109800.0,25
573869,297,16130130.0,31
609873,197,8359175.0,31
663892,32,1576062.0,22
671354,47,1923900.0,24
544669,644,43394466.0,31
594093,92,4226000.0,28
573519,107,6348453.0,30
621818,51,2779000.0,25
676833,92,3914164.0,30
654276,73,3847990.0,28
567374,411,27810677.0,31
632597,78,4543164.0,28
618427,126,4831523.0,30
576114,228,11372177.0,31
622683,70,2873414.0,28
655735,48,2096460.0,23
553148,602,50966905.0,31
643389,34,1502750.0,22
630351,44,2390825.0,23
677154,128,5432782.0,31
581399,73,3374308.0,28
548799,435,26655447.0,31
569445,195,10761405.0,31
652583,83,4304812.0,30
553338,458,29524917.0,31
622627,39,1910561.0,22
666289,33,2081060.0,19
607132,119,7239446.0,31
574386,165,7946558.0,31
601243,80,4652794.0,30
574496,156,7258792.0,30
672617,54,2403150.0,29
544398,1156,74721029.0,31
656098,39,1810340.0,23
668278,69,4538397.0,29
558966,332,15833951.0,31
616912,82,3808717.0,29
550112,574,34026785.0,31
614753,78,5528599.0,29
643830,76,3569838.0,29
623581,85,4025175.0,31
689556,35,1596311.0,5
635818,92,4901132.0,29
557627,397,28010166.0,31
648464,83,4331072.0,31
645263,65,2221150.0,29
577815,128,5979134.0,31
609894,88,3774459.0,31
593410,77,3975580.0,29
667017,39,3012304.0,24
687374,10,435200.0,9
629269,101,4232146.0,29
651440,34,1995890.0,22
631649,93,4220867.0,27
573609,128,5820369.0,30
683158,381,20806207.0,31
571368,211,10980899.0,31
564122,421,23917922.0,31
546467,457,31243974.0,31
627213,6,357400.0,6
622213,92,4349947.0,29
604206,58,2094087.0,26
614551,56,3539161.0,25
581439,149,8863110.0,31
579748,154,9025398.0,31
686887,191,7737302.0,29
566556,257,14097585.0,31
589184,98,6202657.0,31
683630,226,15334856.0,31
638413,50,2303950.0,25
657458,109,8203003.0,30
670558,64,2705010.0,26
679070,108,5633757.0,29
653417,70,3158985.0,29
659669,65,3211929.0,24
641102,80,3059400.0,28
583753,181,9207328.0,31
659710,41,1611972.0,26
628315,40,2645947.0,25
561150,279,15555552.0,31
679197,108,5497285.0,31
577245,130,6852157.0,30
635719,102,4752400.0,30
556170,361,25085879.0,31
601003,206,10409252.0,31
661973,13,468250.0,8
552727,722,48629459.0,31
689487,92,3621810.0,6
664764,21,930625.0,15
600589,125,8434008.0,31
584160,122,6473625.0,31
622944,118,11212643.0,31
654181,124,7729794.0,30
597832,190,9559746.0,31
682040,129,6073723.0,31
564580,165,6967914.0,31
553583,628,38627694.0,31
631578,70,2996397.0,28
679654,92,4391533.0,28
588457,108,5805100.0,31
608282,99,5291068.0,29
682611,156,7483420.0,30
617121,20,644100.0,17
545922,551,35056659.0,31
651263,38,1758500.0,19
683319,158,6729485.0,31
591643,134,6785864.0,30
656044,52,1935601.0,27
619987,131,7160516.0,31
598310,121,5977424.0,31
590021,120,6412833.0,31
687873,232,12488084.0,24
617269,114,5936379.0,31
660828,62,2251781.0,26
620888,44,2086475.0,21
550063,571,34688320.0,31
546736,814,58526871.0,31
637188,86,4417613.0,31
623502,19,727700.0,15
601285,106,4836330.0,30
543341,1014,72307763.0,31
566384,133,10321902.0,31
654792,46,2356007.0,24
635187,69,5012470.0,29
685954,94,4696084.0,31
654777,15,516960.0,12
613308,56,2279950.0,26
592564,34,2393005.0,21
552496,881,49892912.0,31
657225,31,1443650.0,20
603686,213,9286329.0,31
684169,239,8628850.0,31
566712,158,11676279.0,31
664026,18,1321750.0,12
605665,146,6972976.0,30
543563,1174,81170144.0,31
607204,99,6151250.0,30
638715,120,5809332.0,31
651592,37,1532850.0,21
565043,146,7717309.0,31
557053,327,18970250.0,31
688340,152,7260650.0,19
614629,48,3090688.0,22
686467,134,5790905.0,31
552425,427,26391601.0,31
600481,134,7181422.0,31
604313,141,8953867.0,30
627277,64,3171187.0,23
542665,2645,214926898.0,31
636334,110,5726626.0,29
574655,104,7557631.0,31
574556,160,8961010.0,31
592454,200,9201543.0,31
684104,171,7208453.0,31
637647,69,3273819.0,27
572982,300,23273420.0,31
586255,50,3243696.0,24
629557,97,6233391.0,30
651335,47,1562350.0,26
664258,30,1582050.0,21
545389,688,49979176.0,31
617095,12,659500.0,10
664630,43,2751450.0,20
654964,92,3524670.0,30
586407,47,2730250.0,23
610443,44,3060904.0,22
675196,88,4481060.0,31
611949,34,2055144.0,17
551337,399,27137671.0,31
645841,52,4060700.0,23
567230,145,6746945.0,31
673781,48,2620879.0,23
574186,166,8809763.0,31
624455,55,2543075.0,28
552573,694,42204430.0,31
597128,108,7051728.0,28
661837,29,1306013.0,15
632140,71,2811213.0,29
575278,136,8094178.0,31
617379,17,1227000.0,14
579252,156,7441769.0,31
600395,158,9338403.0,31
632982,76,3272550.0,29
597975,130,6737542.0,31
580951,47,1950675.0,22
604588,79,4636734.0,29
642310,15,506290.0,12
639045,75,4664925.0,29
682957,105,4415650.0,30
673596,100,5502980.0,30
624487,47,2167450.0,25
667607,42,1452510.0,22
634491,69,3656400.0,27
663309,59,4446264.0,29
566141,112,6007750.0,31
652203,116,5137450.0,30
605601,146,7759464.0,30
685772,17,557663.0,14
649164,117,4855670.0,31
642896,54,3406640.0,28
621375,76,3616052.0,26
625280,133,6290300.0,31
689579,63,2802963.0,5
671546,59,3004370.0,23
630035,57,2761754.0,26
628777,31,1595170.0,21
639140,32,1222148.0,22
654492,40,2021000.0,22
665864,30,1273300.0,20
603715,117,6733520.0,30
582303,119,6615559.0,30
595200,52,2177200.0,27
629315,123,6566890.0,31
567447,262,15576623.0,31
577105,145,11250383.0,30
645054,43,1580020.0,20
555846,430,23645022.0,31
576265,167,7335446.0,31
632944,48,2304351.0,28
688641,108,5739792.0,16
567277,271,13850906.0,31
647730,88,3533836.0,31
569827,266,16407994.0,31
598074,139,7329660.0,31
547700,549,32188041.0,31
564101,238,11245024.0,31
580722,157,11231990.0,30
582067,58,2918914.0,26
614966,57,2509458.0,27
672863,45,2331300.0,25
653800,128,6914049.0,31
660942,60,3327417.0,27
553020,481,31033323.0,31
638461,19,895550.0,14
657235,25,1256410.0,18
564465,300,19988910.0,31
672327,45,2616020.0,23
582462,118,6046327.0,30
641362,95,4017733.0,30
635769,133,6787295.0,30
647161,18,794900.0,16
680400,128,6696001.0,31
656706,55,2779103.0,25
592247,82,5142163.0,27
660660,33,1662012.0,21
670012,197,16148185.0,31
596478,106,4215499.0,31
677108,93,3304785.0,30
562637,284,18748059.0,31
657222,17,654300.0,14
665539,27,1144661.0,18
646968,50,2464962.0,25
654721,122,5696535.0,30
663101,8,263600.0,8
561806,213,14584154.0,31
595672,89,6554078.0,29
595201,94,3788579.0,29
592283,85,4882952.0,29
656791,33,1567570.0,22
648583,53,3279815.0,25
677467,56,2599790.0,23
688377,174,7327107.0,18
565850,120,6896978.0,31
671730,68,2337700.0,25
624978,57,2581400.0,27
626873,90,5450242.0,29
573612,161,8120951.0,31
587911,106,4545450.0,31
680951,110,4192400.0,29
663443,35,1494841.0,19
550948,556,37612393.0,31
590865,56,2171060.0,24
568878,381,22542999.0,31
689503,81,3688175.0,6
545037,733,50202273.0,31
686183,133,8588260.0,30
593709,108,5501439.0,30
609318,59,2690205.0,27
633048,74,4572410.0,29
642534,13,1002665.0,10
543663,897,63340365.0,31
600799,116,8951027.0,31
581681,70,3213572.0,28
613907,24,971500.0,17
584816,119,6678087.0,29
617653,79,5224076.0,26
577552,162,8289498.0,31
574055,141,7354660.0,31
655379,6,300250.0,5
583970,220,9604368.0,31
601501,106,6107825.0,30
563906,343,18635201.0,31
622500,72,3103736.0,29
671077,139,12727104.0,31
592190,234,15543501.0,31
579807,239,14516893.0,31
605336,127,8141866.0,31
615579,71,4538130.0,27
623398,61,3603839.0,26
583472,152,8908691.0,31
675424,140,6908865.0,31
650237,89,5183700.0,30
604381,151,6408502.0,31
664349,20,566400.0,13
583459,84,5456408.0,30
666333,44,2157150.0,20
637673,62,3240400.0,24
567695,200,11622806.0,31
606938,134,9386785.0,30
647664,16,528300.0,12
556133,280,15878605.0,31
668186,22,1144500.0,15
581732,111,7516698.0,31
681143,134,5085219.0,31
594446,187,8720792.0,31
575718,175,8151104.0,31
628365,124,11074293.0,31
555465,455,25429408.0,31
689985,43,2061524.0,1
570344,223,14051394.0,31
632429,94,5260627.0,30
612080,67,4272300.0,27
568130,250,21279586.0,31
578498,138,9842017.0,30
682156,242,16529774.0,31
572331,157,8589556.0,31
544697,877,54581030.0,31
626097,48,2846650.0,24
573663,160,10128121.0,31
635347,36,1461088.0,22
584933,94,5493885.0,30
679882,144,10745282.0,31
660789,56,3403237.0,27
551804,630,47898979.0,31
683740,210,8538532.0,31
668569,83,3712908.0,27
633704,150,7926262.0,30
657906,130,6643094.0,31
566542,190,9886735.0,31
619159,18,957060.0,15
664460,33,1496900.0,19
594034,222,10203415.0,31
629564,179,8114146.0,31
601836,155,7028960.0,30
662721,11,465749.0,9
588528,131,8064874.0,30
675016,103,5471019.0,29
640634,63,3213667.0,28
564354,259,17521530.0,31
638279,49,3065250.0,24
543891,1110,76436580.0,31
567260,152,9468644.0,30
608536,116,6283492.0,31
607458,93,3670365.0,30
655964,126,5832911.0,31
650105,64,3636919.0,29
663820,24,2139800.0,16
670250,48,2348950.0,26
563844,231,13844186.0,31
626936,89,5068294.0,27
585543,55,3484317.0,27
599869,92,4000916.0,31
613767,32,1104494.0,19
672948,57,5982051.0,24
610866,102,6360120.0,31
646895,92,4011700.0,29
575221,219,12755535.0,31
667626,65,2590750.0,29
630171,87,5350066.0,30
653454,84,4047915.0,28
663832,31,1293100.0,15
683278,159,8230922.0,31
572584,182,10125642.0,30
627958,158,8957637.0,31
667969,22,1067961.0,16
642231,40,1902250.0,21
611232,98,5372058.0,31
651954,72,3811633.0,28
566992,186,11009001.0,31
645227,50,2561363.0,24
652337,87,4238163.0,29
632777,59,2331850.0,25
666315,10,493252.0,9
582230,112,8309007.0,31
568761,435,24636459.0,31
646242,36,1794043.0,21
666534,38,1751900.0,23
647762,67,3289124.0,30
685679,103,4300190.0,31
676895,63,2691941.0,27
657992,127,5602898.0,29
568756,236,11226021.0,31
642042,129,7044284.0,31
636047,47,2506315.0,25
613049,60,4266044.0,23
686909,170,6024015.0,30
624969,50,2847300.0,24
656069,76,3151465.0,29
562797,319,18251877.0,31
625680,112,5618000.0,31
634702,58,2939070.0,26
593898,58,3819440.0,27
682423,214,8516210.0,31
640820,77,3608552.0,28
621142,60,3405032.0,28
592043,104,6366103.0,29
599704,122,6169250.0,30
636848,50,2151500.0,24
565464,163,8797389.0,31
583699,119,7757203.0,31
606512,131,7036217.0,30
613735,62,4551310.0,27
665317,89,3769161.0,30
637670,96,4923574.0,29
661107,25,887000.0,19
676036,24,2073711.0,15
663469,31,1421415.0,18
642606,58,2328700.0,28
652572,70,3418340.0,27
639042,96,4799250.0,31
592129,68,3103416.0,30
615873,14,826610.0,8
637663,97,5401988.0,30
560426,271,15350035.0,31
670652,33,2670380.0,20
597213,101,5404402.0,29
644736,84,4247217.0,28
581105,79,4386810.0,30
629635,116,6158928.0,29
668748,105,6477580.0,29
593146,141,7453986.0,31
616733,44,2169250.0,25
611987,24,906890.0,18
673621,226,13646667.0,31
649646,26,759446.0,17
555026,333,20989303.0,31
625108,64,2638711.0,26
564508,293,16331934.0,31
653791,106,5249589.0,31
652453,79,4064370.0,30
654980,71,2548515.0,28
675295,82,3955074.0,26
584811,154,8648817.0,31
686055,156,7286834.0,31
564531,353,18949846.0,31
554877,368,23058819.0,31
647644,56,2877476.0,27
657898,92,4918248.0,26
637497,39,1735490.0,22
665358,57,2561423.0,27
606754,179,10697525.0,31
679366,113,4334977.0,31
660966,117,6665685.0,31
583743,73,3450156.0,29
580696,103,4987825.0,31
686503,135,6224033.0,30
587432,97,3588272.0,30
649458,55,2947400.0,25
633652,57,2482825.0,28
686717,180,6746148.0,31
666995,51,2304190.0,26
560316,273,17685509.0,31
628022,99,5563425.0,31
544695,694,48166852.0,31
622543,83,3782940.0,30
594725,198,11108797.0,31
546372,519,35567820.0,31
594111,89,3905861.0,29
610195,75,4408420.0,29
558900,492,39264391.0,31
650845,42,1621325.0,22
572812,210,12565894.0,31
656087,27,1567304.0,19
599885,91,4028385.0,30
587620,96,4503411.0,29
629051,85,6018801.0,31
561122,266,16087356.0,31
616658,42,2261800.0,26
681616,166,7546424.0,31
663260,6,289990.0,5
650666,72,2557060.0,30
26107,112,10431664.0,30
594786,60,3320700.0,25
643239,33,1106098.0,18
596774,181,9899205.0,31
583591,144,10697037.0,31
580989,110,6540395.0,31
549782,544,30161844.0,31
585440,147,7497979.0,31
542710,2687,206851181.0,31
644479,35,1635925.0,22
630989,119,5042627.0,31
595887,121,7151511.0,31
605266,106,5134041.0,29
612471,67,3180232.0,29
564876,208,12304347.0,31
688755,109,4764503.0,15
546885,371,25910373.0,31
602000,109,5716767.0,30
688053,172,8770806.0,22
547099,416,28217311.0,31
639178,38,1786867.0,23
598802,176,9168189.0,31
657540,93,2866217.0,29
664957,23,1351862.0,15
607856,116,4557848.0,31
548264,881,57819132.0,31
618308,93,6045830.0,29
550902,370,25962370.0,31
566448,132,6465239.0,30
579550,125,6722084.0,31
598135,95,4414444.0,31
550090,583,33548465.0,31
634824,106,5028685.0,29
588154,74,4976448.0,27
663432,6,239000.0,5
644367,43,1889600.0,24
614348,112,4610760.0,31
609357,95,4886396.0,31
643845,89,2975025.0,28
572420,259,14202851.0,31
640925,78,3624042.0,29
558118,503,30348110.0,31
608555,87,5077380.0,29
553704,416,26055085.0,31
642995,8,318500.0,7
655566,30,1127300.0,20
663842,31,878750.0,21
623651,34,1680480.0,20
547899,604,46445942.0,31
579683,205,9977463.0,31
645963,132,7780055.0,30
587997,107,4364325.0,30
584831,156,8471469.0,31
601596,262,21776516.0,31
602815,152,6762675.0,31
686114,135,5532507.0,30
570410,228,12249357.0,31
684609,159,7436652.0,31
673585,66,3544850.0,26
599446,96,4417461.0,29
642400,47,1839500.0,25
613723,35,1745400.0,19
566430,87,6116860.0,26
660714,56,2924543.0,27
598789,181,9137827.0,31
688263,172,7825600.0,20
584231,122,6208780.0,31
556948,366,21990879.0,31
603314,120,8018557.0,31
675786,38,2316889.0,22
661816,34,1815286.0,21
543143,1674,132430476.0,31
686417,152,6983332.0,31
671663,34,1317911.0,19
662528,37,1852749.0,21
688624,115,5086591.0,16
